Hotel_Name,Hotel_Rating,City,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price,Stars
Ramada by Wyndham New Delhi Pitampura,3.9,delhi,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Accessible,6305,4
Bloom Boutique | GK-1,4.2,delhi,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,4659,3
The Grand Parisian,4.2,delhi,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,4673,3
amigosindia,4.5,delhi,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Pet-friendly,Restaurant,Kitchen,Airport shuttle,706,1
Holiday Inn Express New Delhi Int'l Airport T3,4.2,delhi,Free breakfast,Free Wi-Fi,Air conditioning,Fitness center,Spa,Paid parking,Bar,Restaurant,14081,3
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,delhi,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,10195,5
Treebo Trend Lazystay Grand - Hotel in Bhubaneswar,4.1,bhubaneswar,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,2920,3.545108005
"MAYFAIR Convention, Bhubaneswar",4.5,bhubaneswar,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar,6476,4
Hello Stay Hotel Bhubaneswar,4.2,bhubaneswar,Free Wi-Fi,Paid parking,Air conditioning,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,1231,3.545108005
Hotel SJ Pride,4.8,bhubaneswar,Free Wi-Fi,Pool,Restaurant,Kitchen,Airport shuttle,Full-service laundry,0,0,1239,2
Empires Hotel Bhubaneswar,4.1,bhubaneswar,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,3646,3
"MAYFAIR Convention, Bhubaneswar",4.5,bhubaneswar,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar,5975,4
"Mango Hotels–Prangan, Bhubaneswar",4.1,bhubaneswar,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,3126,3
Mayfair Lagoon,4.6,bhubaneswar,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,10779,5
Venus Inn Restaurant,4.1,bhubaneswar,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,1948,4
Ginger Bhubaneshwar,3.9,bhubaneswar,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,0,2959,2
THE GREENSTAR INN PREMIUM,4.6,bhubaneswar,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,0,1512,3.545108005
IRA By Orchid Bhubaneswar ( Formerly Vits Bhubaneswar ),4.1,bhubaneswar,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,3782,4
Swosti Premium - Luxury 5-Star Hotel in Bhubaneswar,4.3,bhubaneswar,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6215,5
"Vivanta Bhubaneswar, DN Square",4.6,bhubaneswar,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,9089,5
"Welcomhotel By ITC Hotels, Bhubaneswar-LEED Platinum Certified Premium Hotel Near the Airport| 1.5 hrs away from Puri",4.7,bhubaneswar,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7616,4
